FormatVersion,v1.0
Disclaimer,This pricing list is for informational purposes only. All prices are subject to the additional terms included in the pricing pages on http://aws.amazon.com. All Free Tier prices are also subject to the terms included at https://aws.amazon.com/free/
Publication Date,2025-09-11T18:44:47Z
Version,20250911184447
OfferCode,AmazonComputeSavingsPlan
SKU,RateCode,Unit,EffectiveDate,DiscountedRate,Currency,DiscountedSKU,DiscountedServiceCode,DiscountedUsageType,DiscountedOperation,PurchaseOption,LeaseContractLength,LeaseContractLengthUnit,ServiceCode,UsageType,Operation,Description,Instance Family,Location,Location Type,Granularity,Product Family,DiscountedRegionCode,DiscountedInstanceType
2JT7C3ZD2AXA73Q4,2JT7C3ZD2AXA73Q4.563DU8F7GYEBEAU5,Hrs,2025-06-05T18:51:13Z,0.1123,USD,563DU8F7GYEBEAU5,AmazonEC2,APE2-DedicatedUsage:r7g.xlarge,RunInstances,Partial Upfront,3,year,ComputeSavingsPlans,APE2-EC2SP:r7g.3yrPartialUpfront,,3 year Partial Upfront r7g EC2 Instance Savings Plan in ap-east-2,r7g,Asia Pacific (Taipei),AWS Region,hourly,EC2InstanceSavingsPlans,ap-east-2,r7g.xlarge
2JT7C3ZD2AXA73Q4,2JT7C3ZD2AXA73Q4.5KCKZVYWHF9BD7QP,Hrs,2025-06-05T18:51:13Z,2.254,USD,5KCKZVYWHF9BD7QP,AmazonEC2,APE2-UnusedBox:r7g.16xlarge,RunInstances:0010,Partial Upfront,3,year,ComputeSavingsPlans,APE2-EC2SP:r7g.3yrPartialUpfront,,3 year Partial Upfront r7g EC2 Instance Savings Plan in ap-east-2,r7g,Asia Pacific (Taipei),AWS Region,hourly,EC2InstanceSavingsPlans,ap-east-2,r7g.16xlarge
2JT7C3ZD2AXA73Q4,2JT7C3ZD2AXA73Q4.5SWPE3UD9A7F234V,Hrs,2025-06-05T18:51:13Z,0.2253,USD,5SWPE3UD9A7F234V,AmazonEC2,APE2-UnusedBox:r7g.xlarge,RunInstances:1010,Partial Upfront,3,year,ComputeSavingsPlans,APE2-EC2SP:r7g.3yrPartialUpfront,,3 year Partial Upfront r7g EC2 Instance Savings Plan in ap-east-2,r7g,Asia Pacific (Taipei),AWS Region,hourly,EC2InstanceSavingsPlans,ap-east-2,r7g.xlarge
2JT7C3ZD2AXA73Q4,2JT7C3ZD2AXA73Q4.5ZFVZGGRWZRAN9UB,Hrs,2025-06-05T18:51:13Z,1.5628,USD,5ZFVZGGRWZRAN9UB,AmazonEC2,APE2-DedicatedUsage:r7g.16xlarge,RunInstances,Partial Upfront,3,year,ComputeSavingsPlans,APE2-EC2SP:r7g.3yrPartialUpfront,,3 year Partial Upfront r7g EC2 Instance Savings Plan in ap-east-2,r7g,Asia Pacific (Taipei),AWS Region,hourly,EC2InstanceSavingsPlans,ap-east-2,r7g.16xlarge
2JT7C3ZD2AXA73Q4,2JT7C3ZD2AXA73Q4.62U497ZCZ23AYBBP,Hrs,2025-06-05T18:51:13Z,0.1553,USD,62U497ZCZ23AYBBP,AmazonEC2,APE2-BoxUsage:r7g.xlarge,RunInstances:0010,Partial Upfront,3,year,ComputeSavingsPlans,APE2-EC2SP:r7g.3yrPartialUpfront,,3 year Partial Upfront r7g EC2 Instance Savings Plan in ap-east-2,r7g,Asia Pacific (Taipei),AWS Region,hourly,EC2InstanceSavingsPlans,ap-east-2,r7g.xlarge
2JT7C3ZD2AXA73Q4,2JT7C3ZD2AXA73Q4.63GMR57PNRYKEMA2,Hrs,2025-06-05T18:51:13Z,0.12,USD,63GMR57PNRYKEMA2,AmazonEC2,APE2-DedicatedUsage:r7g.large,RunInstances:1010,Partial Upfront,3,year,ComputeSavingsPlans,APE2-EC2SP:r7g.3yrPartialUpfront,,3 year Partial Upfront r7g EC2 Instance Savings Plan in ap-east-2,r7g,Asia Pacific (Taipei),AWS Region,hourly,EC2InstanceSavingsPlans,ap-east-2,r7g.large
2JT7C3ZD2AXA73Q4,2JT7C3ZD2AXA73Q4.6449V6VR3HYGW6KX,Hrs,2025-06-05T18:51:13Z,0.0506,USD,6449V6VR3HYGW6KX,AmazonEC2,APE2-DedicatedUsage:r7g.medium,RunInstances:000g,Partial Upfront,3,year,ComputeSavingsPlans,APE2-EC2SP:r7g.3yrPartialUpfront,,3 year Partial Upfront r7g EC2 Instance Savings Plan in ap-east-2,r7g,Asia Pacific (Taipei),AWS Region,hourly,EC2InstanceSavingsPlans,ap-east-2,r7g.medium
2JT7C3ZD2AXA73Q4,2JT7C3ZD2AXA73Q4.6NMC86N7ETQMDU44,Hrs,2025-06-05T18:51:13Z,0.9526,USD,6NMC86N7ETQMDU44,AmazonEC2,APE2-UnusedDed:r7g.8xlarge,RunInstances:000g,Partial Upfront,3,year,ComputeSavingsPlans,APE2-EC2SP:r7g.3yrPartialUpfront,,3 year Partial Upfront r7g EC2 Instance Savings Plan in ap-east-2,r7g,Asia Pacific (Taipei),AWS Region,hourly,EC2InstanceSavingsPlans,ap-east-2,r7g.8xlarge
2JT7C3ZD2AXA73Q4,2JT7C3ZD2AXA73Q4.77V6KFVNMCC4PA83,Hrs,2025-06-05T18:51:13Z,0.0787,USD,77V6KFVNMCC4PA83,AmazonEC2,APE2-DedicatedUsage:r7g.large,RunInstances:000g,Partial Upfront,3,year,ComputeSavingsPlans,APE2-EC2SP:r7g.3yrPartialUpfront,,3 year Partial Upfront r7g EC2 Instance Savings Plan in ap-east-2,r7g,Asia Pacific (Taipei),AWS Region,hourly,EC2InstanceSavingsPlans,ap-east-2,r7g.large
2JT7C3ZD2AXA73Q4,2JT7C3ZD2AXA73Q4.7BJ2PVZFQU4T83RA,Hrs,2025-06-05T18:51:13Z,1.6168,USD,7BJ2PVZFQU4T83RA,AmazonEC2,APE2-BoxUsage:r7g.16xlarge,RunInstances:000g,Partial Upfront,3,year,ComputeSavingsPlans,APE2-EC2SP:r7g.3yrPartialUpfront,,3 year Partial Upfront r7g EC2 Instance Savings Plan in ap-east-2,r7g,Asia Pacific (Taipei),AWS Region,hourly,EC2InstanceSavingsPlans,ap-east-2,r7g.16xlarge
2JT7C3ZD2AXA73Q4,2JT7C3ZD2AXA73Q4.7BJXVPZM8R8AUWJ8,Hrs,2025-06-05T18:51:13Z,3.15,USD,7BJXVPZM8R8AUWJ8,AmazonEC2,APE2-UnusedDed:r7g.16xlarge,RunInstances:1010,Partial Upfront,3,year,ComputeSavingsPlans,APE2-EC2SP:r7g.3yrPartialUpfront,,3 year Partial Upfront r7g EC2 Instance Savings Plan in ap-east-2,r7g,Asia Pacific (Taipei),AWS Region,hourly,EC2InstanceSavingsPlans,ap-east-2,r7g.16xlarge
2JT7C3ZD2AXA73Q4,2JT7C3ZD2AXA73Q4.7DY49MUYQ7B7DQ5C,Hrs,2025-06-05T18:51:13Z,0.2494,USD,7DY49MUYQ7B7DQ5C,AmazonEC2,APE2-UnusedBox:r7g.2xlarge,RunInstances:000g,Partial Upfront,3,year,ComputeSavingsPlans,APE2-EC2SP:r7g.3yrPartialUpfront,,3 year Partial Upfront r7g EC2 Instance Savings Plan in ap-east-2,r7g,Asia Pacific (Taipei),AWS Region,hourly,EC2InstanceSavingsPlans,ap-east-2,r7g.2xlarge
2JT7C3ZD2AXA73Q4,2JT7C3ZD2AXA73Q4.7HTMH6PT5QKF594P,Hrs,2025-06-05T18:51:13Z,2.254,USD,7HTMH6PT5QKF594P,AmazonEC2,APE2-UnusedDed:r7g.16xlarge,RunInstances:0010,Partial Upfront,3,year,ComputeSavingsPlans,APE2-EC2SP:r7g.3yrPartialUpfront,,3 year Partial Upfront r7g EC2 Instance Savings Plan in ap-east-2,r7g,Asia Pacific (Taipei),AWS Region,hourly,EC2InstanceSavingsPlans,ap-east-2,r7g.16xlarge
2JT7C3ZD2AXA73Q4,2JT7C3ZD2AXA73Q4.7KGM9PKHK8K8AVJH,Hrs,2025-06-05T18:51:13Z,0.4799,USD,7KGM9PKHK8K8AVJH,AmazonEC2,APE2-UnusedDed:r7g.2xlarge,RunInstances:1010,Partial Upfront,3,year,ComputeSavingsPlans,APE2-EC2SP:r7g.3yrPartialUpfront,,3 year Partial Upfront r7g EC2 Instance Savings Plan in ap-east-2,r7g,Asia Pacific (Taipei),AWS Region,hourly,EC2InstanceSavingsPlans,ap-east-2,r7g.2xlarge
2JT7C3ZD2AXA73Q4,2JT7C3ZD2AXA73Q4.7KN2PVYKHAUXDYJ8,Hrs,2025-06-05T18:51:13Z,1.6358,USD,7KN2PVYKHAUXDYJ8,AmazonEC2,APE2-UnusedBox:r7g.16xlarge,RunInstances:0g00,Partial Upfront,3,year,ComputeSavingsPlans,APE2-EC2SP:r7g.3yrPartialUpfront,,3 year Partial Upfront r7g EC2 Instance Savings Plan in ap-east-2,r7g,Asia Pacific (Taipei),AWS Region,hourly,EC2InstanceSavingsPlans,ap-east-2,r7g.16xlarge
2JT7C3ZD2AXA73Q4,2JT7C3ZD2AXA73Q4.7QAXV6S7XDU4E3RM,Hrs,2025-06-05T18:51:13Z,1.3479,USD,7QAXV6S7XDU4E3RM,AmazonEC2,APE2-UnusedDed:r7g.12xlarge,RunInstances,Partial Upfront,3,year,ComputeSavingsPlans,APE2-EC2SP:r7g.3yrPartialUpfront,,3 year Partial Upfront r7g EC2 Instance Savings Plan in ap-east-2,r7g,Asia Pacific (Taipei),AWS Region,hourly,EC2InstanceSavingsPlans,ap-east-2,r7g.12xlarge
2JT7C3ZD2AXA73Q4,2JT7C3ZD2AXA73Q4.7RFWSY8F63X2W33W,Hrs,2025-06-05T18:51:13Z,0.2045,USD,7RFWSY8F63X2W33W,AmazonEC2,APE2-BoxUsage:r7g.2xlarge,RunInstances:0g00,Partial Upfront,3,year,ComputeSavingsPlans,APE2-EC2SP:r7g.3yrPartialUpfront,,3 year Partial Upfront r7g EC2 Instance Savings Plan in ap-east-2,r7g,Asia Pacific (Taipei),AWS Region,hourly,EC2InstanceSavingsPlans,ap-east-2,r7g.2xlarge
2JT7C3ZD2AXA73Q4,2JT7C3ZD2AXA73Q4.7XYHX3CH6NCEFSGW,Hrs,2025-06-05T18:51:13Z,2.254,USD,7XYHX3CH6NCEFSGW,AmazonEC2,APE2-DedicatedUsage:r7g.16xlarge,RunInstances:0010,Partial Upfront,3,year,ComputeSavingsPlans,APE2-EC2SP:r7g.3yrPartialUpfront,,3 year Partial Upfront r7g EC2 Instance Savings Plan in ap-east-2,r7g,Asia Pacific (Taipei),AWS Region,hourly,EC2InstanceSavingsPlans,ap-east-2,r7g.16xlarge
2JT7C3ZD2AXA73Q4,2JT7C3ZD2AXA73Q4.7ZBJKPQ7TNHCMCP3,Hrs,2025-06-05T18:51:13Z,1.1721,USD,7ZBJKPQ7TNHCMCP3,AmazonEC2,APE2-BoxUsage:r7g.12xlarge,RunInstances,Partial Upfront,3,year,ComputeSavingsPlans,APE2-EC2SP:r7g.3yrPartialUpfront,,3 year Partial Upfront r7g EC2 Instance Savings Plan in ap-east-2,r7g,Asia Pacific (Taipei),AWS Region,hourly,EC2InstanceSavingsPlans,ap-east-2,r7g.12xlarge
2JT7C3ZD2AXA73Q4,2JT7C3ZD2AXA73Q4.87EKYHWKZAPTQSWV,Hrs,2025-06-05T18:51:13Z,1.4019,USD,87EKYHWKZAPTQSWV,AmazonEC2,APE2-DedicatedUsage:r7g.12xlarge,RunInstances:000g,Partial Upfront,3,year,ComputeSavingsPlans,APE2-EC2SP:r7g.3yrPartialUpfront,,3 year Partial Upfront r7g EC2 Instance Savings Plan in ap-east-2,r7g,Asia Pacific (Taipei),AWS Region,hourly,EC2InstanceSavingsPlans,ap-east-2,r7g.12xlarge
2JT7C3ZD2AXA73Q4,2JT7C3ZD2AXA73Q4.89N3T2GEERWFDZZ4,Hrs,2025-06-05T18:51:13Z,1.6922,USD,89N3T2GEERWFDZZ4,AmazonEC2,APE2-DedicatedUsage:r7g.8xlarge,RunInstances:1010,Partial Upfront,3,year,ComputeSavingsPlans,APE2-EC2SP:r7g.3yrPartialUpfront,,3 year Partial Upfront r7g EC2 Instance Savings Plan in ap-east-2,r7g,Asia Pacific (Taipei),AWS Region,hourly,EC2InstanceSavingsPlans,ap-east-2,r7g.8xlarge
2JT7C3ZD2AXA73Q4,2JT7C3ZD2AXA73Q4.8BXN8443YCK74N7C,Hrs,2025-06-05T18:51:13Z,0.0511,USD,8BXN8443YCK74N7C,AmazonEC2,APE2-BoxUsage:r7g.large,RunInstances:0g00,Partial Upfront,3,year,ComputeSavingsPlans,APE2-EC2SP:r7g.3yrPartialUpfront,,3 year Partial Upfront r7g EC2 Instance Savings Plan in ap-east-2,r7g,Asia Pacific (Taipei),AWS Region,hourly,EC2InstanceSavingsPlans,ap-east-2,r7g.large
2JT7C3ZD2AXA73Q4,2JT7C3ZD2AXA73Q4.8H8CCSDWTXBK9CKQ,Hrs,2025-06-05T18:51:13Z,1.6168,USD,8H8CCSDWTXBK9CKQ,AmazonEC2,APE2-BoxUsage:r7g.metal,RunInstances:000g,Partial Upfront,3,year,ComputeSavingsPlans,APE2-EC2SP:r7g.3yrPartialUpfront,,3 year Partial Upfront r7g EC2 Instance Savings Plan in ap-east-2,r7g,Asia Pacific (Taipei),AWS Region,hourly,EC2InstanceSavingsPlans,ap-east-2,r7g.metal
